,ID,Text_length,Sentiment_polarity
0,0,medium 100-500,Pretty negative
1,1,short <100,Pretty negative
2,2,short <100,Neutral
3,3,medium 100-500,Pretty negative
4,4,short <100,Neutral
5,5,short <100,Pretty negative
6,6,medium 100-500,Pretty positive
7,7,short <100,Neutral
8,8,short <100,Pretty positive
9,9,medium 100-500,Pretty positive
10,10,short <100,Pretty negative
11,11,short <100,Neutral
12,12,short <100,Pretty negative
13,13,medium 100-500,Pretty positive
14,14,medium 100-500,Pretty negative
15,15,short <100,Neutral
16,16,medium 100-500,Pretty positive
17,17,short <100,Neutral
18,18,short <100,Pretty positive
19,19,medium 100-500,Pretty negative
20,20,short <100,Quite negative
21,21,short <100,Neutral
22,22,short <100,Neutral
23,23,short <100,Pretty positive
24,24,short <100,Pretty positive
25,25,medium 100-500,Pretty positive
26,26,short <100,Pretty positive
27,27,short <100,Neutral
28,28,medium 100-500,Neutral
29,29,short <100,Pretty negative
30,30,short <100,Pretty negative
31,31,short <100,Neutral
32,32,short <100,Neutral
33,33,short <100,Pretty positive
34,34,short <100,Neutral
35,35,medium 100-500,Pretty positive
36,36,short <100,Neutral
37,37,medium 100-500,Pretty positive
38,38,short <100,Neutral
39,39,short <100,Neutral
40,40,short <100,Pretty positive
41,41,short <100,Neutral
42,42,short <100,Neutral
43,43,short <100,Neutral
44,44,short <100,Neutral
45,45,short <100,Neutral
46,46,medium 100-500,Neutral
47,47,short <100,Pretty negative
48,48,short <100,Neutral
49,49,short <100,Neutral
50,50,medium 100-500,Pretty positive
51,51,medium 100-500,Pretty negative
52,52,short <100,
53,53,short <100,Neutral
54,54,short <100,Pretty negative
55,55,short <100,Pretty positive
56,56,short <100,Pretty negative
57,57,medium 100-500,Pretty negative
58,58,short <100,Neutral
59,59,short <100,Neutral
60,60,short <100,Pretty negative
61,61,medium 100-500,Pretty negative
62,62,medium 100-500,Neutral
63,63,short <100,Pretty negative
64,64,short <100,Neutral
65,65,short <100,Pretty negative
66,66,short <100,Neutral
67,67,short <100,Neutral
68,68,short <100,Pretty positive
69,69,short <100,Pretty positive
70,70,medium 100-500,Neutral
71,71,short <100,Pretty positive
72,72,short <100,Pretty positive
73,73,short <100,Neutral
74,74,short <100,Pretty negative
75,75,medium 100-500,Pretty negative
76,76,short <100,Neutral
77,77,short <100,Neutral
78,78,short <100,
79,79,medium 100-500,Neutral
80,80,short <100,Neutral
81,81,medium 100-500,Pretty positive
82,82,short <100,Pretty negative
83,83,short <100,Neutral
84,84,short <100,Pretty positive
85,85,medium 100-500,Pretty positive
86,86,medium 100-500,Pretty negative
87,87,short <100,Neutral
88,88,short <100,
89,89,short <100,Neutral
90,90,medium 100-500,Pretty positive
91,91,short <100,Pretty negative
92,92,short <100,Neutral
93,93,short <100,Pretty positive
94,94,short <100,Neutral
95,95,short <100,Neutral
96,96,short <100,Neutral
97,97,medium 100-500,Pretty positive
98,98,short <100,Pretty positive
99,99,short <100,Pretty positive
100,100,short <100,Neutral
101,101,medium 100-500,Pretty positive
102,102,medium 100-500,Very negative
103,103,short <100,Neutral
104,104,medium 100-500,Pretty positive
105,105,short <100,Pretty positive
106,106,short <100,Pretty negative
107,107,medium 100-500,Pretty positive
108,108,short <100,Pretty negative
109,109,short <100,Quite negative
110,110,short <100,Neutral
111,111,medium 100-500,Neutral
112,112,medium 100-500,Pretty positive
113,113,short <100,Neutral
114,114,short <100,Neutral
115,115,medium 100-500,Neutral
116,116,short <100,Neutral
117,117,short <100,Neutral
118,118,short <100,Neutral
119,119,short <100,Neutral
120,120,short <100,Pretty negative
121,121,medium 100-500,Pretty positive
122,122,short <100,
123,123,short <100,Pretty positive
124,124,short <100,Neutral
125,125,short <100,Neutral
126,126,short <100,Pretty negative
127,127,short <100,Neutral
128,128,short <100,Neutral
129,129,short <100,Neutral
130,130,short <100,Neutral
131,131,medium 100-500,Pretty positive
132,132,short <100,Neutral
133,133,short <100,Pretty positive
134,134,short <100,Pretty negative
135,135,medium 100-500,Pretty negative
136,136,short <100,Neutral
137,137,short <100,Neutral
138,138,short <100,Pretty positive
139,139,medium 100-500,Neutral
140,140,short <100,Pretty positive
141,141,medium 100-500,Pretty positive
142,142,short <100,Pretty positive
143,143,short <100,Pretty positive
144,144,short <100,Pretty positive
145,145,short <100,Neutral
146,146,short <100,Neutral
147,147,short <100,Pretty positive
148,148,short <100,Neutral
149,149,short <100,Pretty negative
150,150,short <100,Pretty positive
151,151,medium 100-500,Pretty negative
152,152,short <100,Pretty negative
153,153,medium 100-500,Pretty positive
154,154,medium 100-500,Pretty negative
155,155,short <100,Pretty positive
156,156,short <100,Neutral
157,157,short <100,Neutral
158,158,medium 100-500,Pretty negative
159,159,short <100,Pretty positive
160,160,short <100,Neutral
